"","V1","V2","V3","V4","V5","V6"
"1",0.15776193338177,0.146358242383515,0.0451129082051726,0.476636805793881,0.26288284072327,0.662987240436196
"2",0.904980080788112,0.790245734479895,0.00161569584571616,0.683203068223161,0.22189928810996,0.724088062155969
"3",0.783956554819972,0.609242368162154,0.235275548158954,0.335205296966782,0.741103500080096,0.716145779381045
"4",0.76665174668595,0.757273567047521,0.205261755244512,0.0356485014592608,0.817139232483639,0.818864440221877
"5",0.705843147286905,0.784242787177114,0.0312630640061104,0.917835392516162,0.534272724120764,0.0257253740123809
"6",0.134076817825477,0.68506239225148,0.171134012609986,0.791828336607178,0.542648317611388,0.902218606593542
"7",0.255833084331101,0.810511182899157,0.233252203299755,0.850200318945228,0.369988464935478,0.484715699825874
"8",0.725716869681706,0.847201975666627,0.0218776715684166,0.130466742422377,-0.00876834690654699,0.0225441080076748
"9",0.124866030065627,0.533698083978117,0.214761471892916,0.351171666053179,0.869852430153021,0.806524377697279
"10",0.164811294394917,0.151935406633287,0.351318409176407,0.660607550507201,0.824378235218091,0.718553077571644
