"","V1","V2","V3"
"1",-7.77367959409361,-6.25914540451694,-8.29003104225038
"2",-7.74590980060073,-5.54680357462128,-8.74174580829655
"3",-7.46276705759188,-5.56914083475476,-8.53540152049615
"4",-8.04066709603516,-5.87686267887441,-8.1396332669866
"5",-7.52394878696101,-5.76130382331069,-8.80268984439167
"6",-7.4478014567997,-6.43337991569743,-8.76348376533549
